gene,SNPs,hits,Z,top_candidate_p,Z_pVal
15799,1,0,0.08053542015677748,1.0,0.665478544601044
15800,50,0,1.5049261245950167,1.0,0.6140978210365239
15801,118,2,4.980518777769104,0.33045849872280664,0.149771914766481
15802,18,2,3.356338793979375,0.013756463740805566,0.007807399007680238
15803,75,1,2.2751841601587297,0.5294133584143501,0.5514940479436974
15804,66,4,3.134286771372457,0.004403453407134823,0.26522658908424734
15805,136,1,3.7178097669252876,0.7450902393036908,0.44575918232989653
15806,69,0,4.25879952012111,1.0,0.08586279271935937
15807,1,0,,1.0,
15808,1,0,0.23239746409729414,1.0,0.5948659963920672
15809,1,0,0.6429554189817733,1.0,0.39492530886995203
15810,117,2,3.134973454074642,0.3268120640698518,0.5221581187225269
15811,133,2,4.233833465212626,0.38435030058532343,0.3239741708678099
15812,133,2,3.656257354633705,0.38435030058532343,0.4513042398741962
15813,150,3,3.600108671944331,0.1905181379839365,0.5068074274874783
15814,95,1,3.2135730457493983,0.6151039211065155,0.41145206082779495
15815,33,1,1.3530722968223123,0.28226946740172515,0.5219780845442887
15816,133,0,2.1946172008547085,1.0,0.7653119710169363
15817,10,1,3.159023108554118,0.09561792499119559,0.0035520996834659258
15818,54,0,0.9023732857842734,1.0,0.7949052101037171
15819,59,2,2.814651106303265,0.11793950109437501,0.2961184514246702
15820,90,0,6.255959816610608,1.0,0.011835756776614303
15821,111,7,5.608898238532616,0.00013711907358423574,0.06650453603030304
15822,103,0,3.0291645935356164,1.0,0.4938419928438196
15823,78,1,3.4332925804281587,0.5433902522560855,0.2687688599661724
15824,100,0,3.72527551514851,1.0,0.3139250026696543
15825,1,0,-0.08198504956113045,1.0,0.7349963659170557
15826,44,0,1.7821332346955316,1.0,0.47872332226833514
15827,27,0,1.1675786910645045,1.0,0.527820527560644
15828,32,0,0.5532668973256026,1.0,0.7720631735981474
15829,92,0,2.6110601027521683,1.0,0.5501262422950913
15830,82,0,1.7316079011831997,1.0,0.7216407914495598
15831,80,0,1.4626333256330055,1.0,0.7722279657887063
15832,40,0,0.9060119038299808,1.0,0.7231181944183183
15833,39,0,0.8384456146569268,1.0,0.7358468427802369
15834,110,2,4.050190668192388,0.3011523691000814,0.2854950732744954
15835,61,0,1.3639199708842191,1.0,0.7179770799095919
15836,104,0,2.6462759098806212,1.0,0.5918726451597587
15837,8,0,0.579993903090328,1.0,0.5347556911478779
15838,9,0,1.1444188301575544,1.0,0.30562688670268834
15839,1,0,0.5906565330500105,1.0,0.41996878687999006
15840,37,1,1.2877480487263764,0.31055091413092223,0.5816092143547695
15841,75,0,1.8495422068324259,1.0,0.6637869407899205
15842,112,0,1.198414973963675,1.0,0.8816848350299749
15843,41,0,0.5074909234855594,1.0,0.8273261679790751
15844,116,1,4.071314764299295,0.6883389185508575,0.30332214408780356
15845,6,0,0.6393441292277673,1.0,0.4782396675780711
15846,126,1,3.8563147496664314,0.7181393044595366,0.3843563712860847
15847,25,0,1.4574866958370636,1.0,0.39739834524079287
15848,53,0,1.885721613188474,1.0,0.5196281853570643
15849,94,2,4.507169235679618,0.24206771526943618,0.14370361081941962
15850,187,10,12.25520062529047,2.2669017072581006e-05,1.7909895195789005e-06
15851,1,0,-0.2343994227042107,1.0,0.7927665360883085
15852,2,0,,1.0,
15853,137,1,3.0794610276664716,0.7476393369106538,0.5938575130898083
15854,8,0,0.43187026689436253,1.0,0.6005003661275629
15855,146,1,2.4714139710879013,0.769464181681474,0.7372714963063518
15856,138,1,1.6340355690214576,0.7501629435415473,0.8584032491385094
15857,81,0,0.27372146592722185,1.0,0.9401078391190358
15858,159,0,3.58105486260557,1.0,0.5286995514110271
15859,130,0,2.1618115625147616,1.0,0.7656909149848432
15860,101,1,0.4048773345294521,0.6376279821395031,0.9456003781033052
15861,96,0,0.8867193088042564,1.0,0.8974034968161768
15862,74,0,1.603359040343442,1.0,0.7191042348805186
15863,4,1,1.1562809731278534,0.039403990000000035,0.22745034985576384
15864,34,0,1.9246629036522098,1.0,0.3358788253692774
15865,46,3,2.2712781504676034,0.011020744391618396,0.3427101732498592
15866,138,0,0.4905924158376218,1.0,0.9581248722710236
15867,135,1,0.8767580886746232,0.7425153932360513,0.9325363992428296
15868,56,0,2.31494534694952,1.0,0.41258740926369486
15869,30,0,0.0022439188326252506,1.0,0.8862720136640189
15870,34,1,0.19785046210466248,0.2894467727277079,0.863617421978071
15871,2,0,0.5566634473499308,1.0,0.45331317528808857
15872,35,0,0.7057395893835383,1.0,0.7482596429197047
15873,45,2,1.322546948036001,0.07463929299800556,0.6338953316045246
